ID,FechaEncuesta,PuntuacionAccesibilidad,PuntuacionCalidad,Comentarios,AreaRecreativaID
ES_5972,2023-11-17,2.0,5.0,Satisfecho,52111
ES_46006,2024-04-16,2.0,,Satisfecho,18246
ES_2459,2023-11-30,3.0,5.0,Muy insatisfecho,17730
ES_41308,2024/07/27,,3.0,Insatisfecho,5654025
ES_52381,2024/03/29,2.0,2.0,Insatisfecho,17135
ES_56741,2023-12-02,2.0,4.0,Muy insatisfecho,52146
ES_90605,2024/06/07,5.0,2.0,Muy satisfecho,16675
ES_55334,2024-05-04,2.0,3.0,Neutral,18132
ES_71717,2024/02/20,4.0,1.0,Muy insatisfecho,16763
ES_91381,2024/01/29,4.0,5.0,Insatisfecho,17905
ES_39799,2024/09/14,3.0,1.0,Insatisfecho,8799547
ES_21562,2024-07-18,3.0,1.0,Satisfecho~,17856
ES_71509,2024-08-17,1.0,1.0,Muy satisfecho,5241185
ES_68582,2024-02-10,1.0,2.0,Satisfecho,5241170
ES_30233,2024/02/12,1.0,4.0,Neutral,16854
ES_42779,2024/10/03,5.0,1.0,Satisfecho,7835585
ES_46706,2024/08/01,3.0,2.0,Muy satisfecho,16881
ES_54044,2024/07/11,3.0,2.0,Muy insatisfecho,4996971
ES_29198,2024/01/12,2.0,1.0,Muy satisfecho,52061
ES_38350,2024/10/03,1.0,1.0,Muy satisfecho*,5237110
ES_67472,2024/06/02,5.0,4.0,Insatisfecho,3611795
ES_12062,2024-03-26,3.0,,Satisfecho,5237135
ES_58716,2024/08/13,1.0,1.0,Satisfecho,18446
ES_92755,2023-11-20,2.0,4.0,Satisfecho,17793
ES_39411,2024/01/30,5.0,2.0,Muy satisfecho,16695
ES_22585,2023-12-08,,2.0,Insatisfecho,18433
ES_9572,2024-09-07,4.0,3.0,Satisfecho,16692
ES_84051,2023-12-16,4.0,2.0,Neutral,5246182
ES_8627,2024/06/18,3.0,3.0,Muy insatisfecho_,17777
ES_73652,2023-10-28,1.0,3.0,Insatisfecho,17960
ES_61834,2023-10-13,2.0,2.0,Muy insatisfecho,17285
ES_62975,2024-01-30,2.0,5.0,Muy insatisfecho,18364
ES_25822,2024-02-04,3.0,,Muy satisfecho,52040
ES_11641,2024/01/07,2.0,,Muy insatisfecho_,18535
ES_55478,2023/11/18,4.0,2.0,Insatisfecho,52088
ES_12999,2024/05/07,2.0,5.0,Insatisfecho,18539
ES_8098,2024-09-23,4.0,4.0,Satisfecho~,17167
ES_93624,2023/12/15,3.0,4.0,Muy insatisfecho,4794404
ES_16123,2024/02/12,3.0,3.0,Neutral,18589
ES_59925,2023-10-14,3.0,2.0,Insatisfecho,17329
ES_58402,2024-06-28,3.0,2.0,Insatisfecho,17420
ES_70087,2023-11-03,2.0,1.0,Muy satisfecho,18207
ES_75751,2024-08-16,1.0,3.0,Neutral,52165
ES_69938,2024/08/11,,5.0,Muy satisfecho,18350
ES_19288,2024-02-21,2.0,3.0,Muy satisfecho,17390
ES_25231,2024-02-03,1.0,,Muy insatisfecho,16748
ES_16508,2023-12-03,2.0,4.0,Muy satisfecho,7840405
ES_67950,2024-01-23,2.0,3.0,Neutral,17961
ES_87076,2024/05/16,2.0,2.0,Neutral,17673
ES_46980,2023/11/16,,,Insatisfecho,8799607
ES_38898,2024/08/17,2.0,,Neutral,17620
ES_17642,2024/02/28,5.0,3.0,Muy satisfecho*,3990960
ES_52939,2024/08/18,1.0,3.0,Neutral,18581
ES_88070,2024/08/28,4.0,1.0,Muy satisfecho,17456
ES_9015,2024/05/12,4.0,4.0,Neutral*,17529
ES_45859,2023-10-11,1.0,3.0,Muy insatisfecho,16913
ES_77013,2024-05-07,5.0,3.0,Satisfecho,17521
ES_28212,2024/01/23,1.0,2.0,Muy satisfecho~,52122
ES_42109,2023-12-28,5.0,1.0,Neutral,17379
ES_54016,2024/07/27,1.0,1.0,Neutral,52057
ES_16220,2024-07-18,2.0,4.0,Neutral,7603212
ES_28953,2023-10-17,3.0,3.0,Satisfecho,52157
ES_97468,2023/12/17,2.0,4.0,Muy satisfecho,18403
ES_8288,2023-10-22,3.0,1.0,Neutral,16889
ES_42893,2024/03/31,3.0,4.0,Neutral,17477
ES_54160,2024-01-15,4.0,1.0,Muy insatisfecho,17780
ES_27705,2023-10-29,4.0,4.0,Satisfecho,18517
ES_74909,2023-11-06,3.0,,Muy satisfecho,16762
ES_29333,2024/01/09,4.0,3.0,Muy satisfecho_,17899
ES_84475,2024/09/23,1.0,3.0,Muy insatisfecho,7838817
ES_93185,2023/10/26,2.0,4.0,Neutral,17661
ES_68032,2024/06/09,1.0,1.0,Satisfecho,17503
ES_46965,2023/10/19,4.0,1.0,Insatisfecho,9438374
ES_14154,2024/02/08,1.0,2.0,Satisfecho,17396
ES_58449,2023/11/04,1.0,3.0,Satisfecho,17946
ES_97383,2024-02-01,5.0,2.0,Muy insatisfecho,8799554
ES_82787,2023-12-14,5.0,2.0,Neutral,17842
ES_33554,2023-10-30,4.0,3.0,Insatisfecho,5196548
ES_54154,2023-12-26,2.0,1.0,Satisfecho,4792806
ES_43808,2023-12-14,5.0,,Insatisfecho,18407
ES_33212,2024-08-16,2.0,4.0,Satisfecho,3573005
ES_8956,2024-07-01,2.0,2.0,Muy satisfecho,18276
ES_49417,2024/06/21,2.0,5.0,Neutral,16848
ES_19776,2024/01/18,2.0,4.0,Satisfecho,18074
ES_6252,2024/03/21,4.0,1.0,Satisfecho*,18302
ES_65105,2024/04/17,5.0,5.0,Muy satisfecho,52138
ES_38254,2023-11-16,1.0,3.0,Satisfecho,17752
ES_39174,2023/10/17,4.0,3.0,Satisfecho,4737942
ES_77597,2024-04-10,5.0,2.0,Muy insatisfecho,17419
ES_52000,2024/10/03,3.0,,Satisfecho,17818
ES_62414,2024/05/03,3.0,2.0,Muy satisfecho,17605
ES_20099,2024-06-29,4.0,4.0,Satisfecho,18010
ES_43139,2024-07-11,5.0,3.0,Muy insatisfecho,461179
ES_98410,2024/01/05,2.0,5.0,Muy insatisfecho,17068
ES_17306,2023-12-21,1.0,2.0,Muy insatisfecho,8927341
ES_32457,2023/11/10,5.0,1.0,Muy insatisfecho,18403
ES_96482,2024-08-10,2.0,5.0,Insatisfecho,6819620
ES_5106,2023/11/07,1.0,3.0,Neutral,17204
ES_93760,2024-05-11,4.0,2.0,Muy insatisfecho,17544
ES_88040,2024/06/05,1.0,4.0,Muy insatisfecho,17781
ES_76352,2024-05-16,1.0,2.0,Neutral,18430
ES_47555,2024-03-07,1.0,3.0,Insatisfecho,17543
ES_22768,2024/01/18,,1.0,Muy satisfecho_,9049653
ES_23241,2024-08-09,1.0,1.0,Satisfecho,5654059
ES_29784,2024/02/19,5.0,2.0,Insatisfecho,5653727
ES_66590,2024/06/02,3.0,5.0,Satisfecho,18491
ES_51280,2024-01-27,1.0,1.0,Neutral,18627
ES_92273,2024-01-30,,3.0,Satisfecho,18292
ES_39624,2023/11/20,1.0,4.0,Insatisfecho,17975
ES_26975,2024/10/04,5.0,2.0,Muy satisfecho~,17554
ES_48909,2024-07-18,2.0,2.0,Satisfecho,17839
ES_92710,2024/02/14,3.0,5.0,Neutral,17152
ES_24982,2024/05/08,5.0,3.0,Satisfecho,4986212
ES_1554,2023-12-05,2.0,4.0,Insatisfecho,5240310
ES_36016,2023-10-22,3.0,3.0,Muy insatisfecho*,17692
ES_51709,2024/05/01,1.0,2.0,Insatisfecho,16777
ES_86658,2023-11-27,5.0,5.0,Neutral,18362
ES_19918,2023/11/13,3.0,5.0,Insatisfecho,18078
ES_87639,2024-01-03,,4.0,Neutral,18628
ES_43596,2024/07/06,2.0,5.0,Muy insatisfecho,5218552
ES_70210,2024/04/19,1.0,1.0,Satisfecho,18415
ES_28746,2024-04-24,4.0,2.0,Muy insatisfecho,16720
ES_60837,2023-12-19,4.0,,Satisfecho,18589
ES_35745,2024-07-24,3.0,2.0,Muy insatisfecho,5237135
ES_59192,2024-04-20,4.0,1.0,Insatisfecho,5240107
ES_55352,2024-09-02,3.0,4.0,Insatisfecho,5241170
ES_59779,2023/12/18,2.0,,Satisfecho~,3568167
ES_88798,2024/06/20,3.0,2.0,Neutral,18240
ES_68291,2023-10-18,2.0,,Muy insatisfecho,17829
ES_37164,2024/05/07,4.0,1.0,Neutral,5240283
ES_51545,2024/06/03,3.0,1.0,Satisfecho,16821
ES_46745,2023/12/21,1.0,4.0,Neutral,17689
ES_73164,2024/04/26,1.0,3.0,Neutral,18409
ES_21313,2023/12/15,4.0,4.0,Satisfecho,52135
ES_60935,2024-01-22,,3.0,Muy insatisfecho,18161
ES_66363,2024/04/12,4.0,,Insatisfecho,18322
ES_67795,2024-07-27,3.0,1.0,Satisfecho,17899
ES_67367,2024/02/09,1.0,2.0,Neutral,5653924
ES_6922,2024-05-27,4.0,4.0,Satisfecho,16959
ES_2574,2024/07/04,2.0,5.0,Neutral,9181989
ES_58429,2024-02-01,2.0,1.0,Neutral,52094
ES_64775,2024-02-18,3.0,4.0,Insatisfecho,451442
ES_90019,2024/02/22,5.0,4.0,Muy satisfecho,18335
ES_2153,2024-09-10,5.0,2.0,Muy satisfecho,16844
ES_66014,2023/12/03,4.0,5.0,Neutral,17108
ES_71409,2024-08-10,5.0,4.0,Muy satisfecho,17632
ES_25909,2024/06/09,1.0,3.0,Insatisfecho,17359
ES_16233,2024/06/26,4.0,2.0,Satisfecho,52040
ES_60756,2024-10-03,5.0,,Muy satisfecho,16762
ES_38871,2024-09-23,,5.0,Neutral,7903107
ES_26771,2024/03/20,3.0,1.0,Satisfecho,17582
ES_72128,2024-10-07,3.0,2.0,Muy satisfecho,17291
ES_53366,2023-12-19,3.0,1.0,Muy satisfecho,17128
ES_32847,2024-01-07,3.0,2.0,Satisfecho,18421
ES_7610,2023-12-31,1.0,2.0,Muy insatisfecho,16864
ES_95143,2024-09-14,1.0,1.0,Muy satisfecho,52121
ES_82132,2024-09-10,1.0,3.0,Insatisfecho,5261893
ES_26973,2024/02/23,3.0,5.0,Muy satisfecho,16965
ES_29605,2023-11-24,2.0,,Satisfecho,5214638
ES_54718,2024/07/14,3.0,2.0,Satisfecho,5653909
ES_26619,2023-12-20,5.0,1.0,Neutral*,18565
ES_25719,2024/05/19,3.0,3.0,Satisfecho*,17819
ES_54226,2024-09-03,,,Satisfecho,16889
ES_62158,2023/12/11,2.0,2.0,Satisfecho_,8799549
ES_13161,2024/04/14,2.0,1.0,Muy satisfecho,18177
ES_67759,2024/06/28,4.0,3.0,Muy insatisfecho,5653971
ES_23668,2024-01-24,4.0,,Insatisfecho,5068873
ES_77501,2024/07/10,5.0,3.0,Insatisfecho,17815
ES_10294,2024/02/15,5.0,4.0,Muy satisfecho,18013
ES_24800,2024-02-29,1.0,4.0,Muy satisfecho,18146
ES_11462,2024-03-05,3.0,1.0,Satisfecho,17882
ES_51977,2024-02-29,1.0,3.0,Muy insatisfecho_,17535
ES_12784,2024/01/06,2.0,1.0,Muy insatisfecho*,18002
ES_25004,2024/03/20,3.0,1.0,Insatisfecho,17247
ES_84653,2024/03/17,4.0,2.0,Neutral,5219922
ES_90336,2024/06/12,2.0,5.0,Muy satisfecho,451353
ES_49746,2024/03/08,3.0,5.0,Muy satisfecho,18199
ES_49339,2023/11/04,5.0,5.0,Satisfecho_,16923
ES_87606,2024/04/26,3.0,5.0,Neutral,17833
ES_14476,2024/07/18,3.0,5.0,Muy insatisfecho,7107055
ES_62337,2024-07-29,3.0,1.0,Satisfecho~,18119
ES_32346,2023-11-29,3.0,4.0,Satisfecho,17840
ES_44710,2024-01-19,1.0,3.0,Muy insatisfecho,17419
ES_95527,2024-03-07,5.0,5.0,Satisfecho,18072
ES_34769,2024-01-18,3.0,5.0,Insatisfecho,18063
ES_53602,2024-01-29,2.0,,Muy satisfecho,17579
ES_71066,2024/09/14,1.0,1.0,Neutral,16671
ES_67550,2024/10/07,3.0,4.0,Neutral~,18293
ES_77716,2024/07/13,2.0,5.0,Satisfecho,3568168
ES_34104,2024-05-25,3.0,2.0,Satisfecho*,5237132
ES_83361,2024/06/04,3.0,3.0,Insatisfecho,17920
ES_47212,2024-03-28,3.0,4.0,Muy insatisfecho,18108
ES_48854,2024-02-14,1.0,3.0,Insatisfecho,17248
ES_53926,2024-01-15,2.0,5.0,Satisfecho,7613585
ES_40190,2024/05/12,4.0,4.0,Satisfecho_,7838818
ES_57885,2024/08/09,4.0,2.0,Insatisfecho,18092
ES_80782,2024/01/03,2.0,5.0,Muy insatisfecho,18515
ES_11356,2024-01-26,2.0,1.0,Neutral,17274
ES_61026,2023-10-24,5.0,4.0,Insatisfecho,18088
ES_77091,2024/04/19,4.0,5.0,Satisfecho,17219
ES_80548,2024/08/19,2.0,5.0,Satisfecho,5246190
ES_36018,2024-05-25,5.0,4.0,Insatisfecho~,18480
ES_88077,2024/07/16,1.0,5.0,Muy insatisfecho,18547
ES_12154,2024-08-21,2.0,4.0,Muy satisfecho_,18290
ES_27283,2024-03-13,3.0,4.0,Muy insatisfecho,17827
ES_86168,2024/08/12,5.0,1.0,Muy insatisfecho,7247843
ES_91219,2024/10/06,,2.0,Muy satisfecho,16667
ES_10329,2024/08/19,3.0,2.0,Insatisfecho,52128
ES_49565,2024-02-04,4.0,2.0,Neutral,8799606
ES_75216,2024/04/25,1.0,5.0,Neutral,18537
ES_9970,2024/08/22,2.0,1.0,Insatisfecho,7862436
ES_18276,2024-07-22,3.0,,Neutral,7107695
ES_69290,2024-05-06,1.0,1.0,Satisfecho,18556
ES_38451,2024-05-13,5.0,1.0,Muy insatisfecho,17470
ES_45401,2023-11-15,1.0,1.0,Muy satisfecho,6909670
ES_4571,2024/06/16,1.0,4.0,Muy satisfecho,52057
ES_60832,2024-08-13,1.0,1.0,Satisfecho,18381
ES_9796,2024/01/23,1.0,,Insatisfecho*,3566373
ES_93220,2024-08-17,3.0,2.0,Muy insatisfecho,17394
ES_44011,2024-02-12,,2.0,Satisfecho,17162
ES_35649,2024-03-25,5.0,5.0,Muy insatisfecho,17211
ES_41396,2024-01-05,4.0,3.0,Insatisfecho,17221
ES_27232,2024-09-15,,3.0,Satisfecho,17711
ES_33209,2023/11/12,3.0,5.0,Muy satisfecho,7126577
ES_15483,2024/03/03,2.0,4.0,Insatisfecho,17061
ES_27638,2024-07-14,3.0,3.0,Muy satisfecho,5654057
ES_83289,2023/11/09,4.0,3.0,Muy insatisfecho~,17427
ES_40120,2024/08/13,2.0,2.0,Insatisfecho,3990963
ES_26042,2024/02/15,5.0,5.0,Neutral,52122
ES_15990,2024-06-10,2.0,2.0,Muy satisfecho,16837
ES_6093,2024/05/27,2.0,2.0,Insatisfecho,5213826
ES_87583,2024-08-25,4.0,1.0,Insatisfecho,17705
ES_87594,2024/01/31,3.0,1.0,Muy satisfecho,17485
ES_55012,2024/02/25,4.0,,Muy satisfecho,8799638
ES_24162,2024-08-30,3.0,1.0,Muy insatisfecho,4730856
ES_12106,2024-02-29,2.0,,Satisfecho,18022
ES_4760,2023-11-10,1.0,4.0,Muy satisfecho,17502
ES_81974,2024/09/02,4.0,4.0,Neutral~,9177985
ES_75653,2024/04/21,3.0,3.0,Insatisfecho,18571
ES_2877,2023-11-07,1.0,3.0,Neutral,3568173
ES_15965,2023-10-25,2.0,5.0,Muy satisfecho,17247
ES_66607,2024-07-24,,4.0,Satisfecho,17086
ES_63382,2023-12-02,3.0,5.0,Insatisfecho,17178
ES_70609,2024/10/03,5.0,2.0,Neutral,18618
ES_49993,2023/11/20,4.0,4.0,Satisfecho,17946
ES_13763,2024/01/30,,2.0,Satisfecho,17086
ES_31617,2024/04/10,,5.0,Satisfecho,16839
ES_83554,2023-12-24,5.0,1.0,Insatisfecho,17130
ES_20626,2023-12-28,5.0,1.0,Neutral,52126
ES_46410,2024/03/13,4.0,2.0,Muy insatisfecho,17865
ES_35916,2024/07/14,5.0,5.0,Satisfecho,7838836
ES_25951,2024/04/08,4.0,1.0,Muy satisfecho,17106
ES_75942,2024/08/24,4.0,3.0,Insatisfecho,17558
ES_34972,2024-03-08,3.0,1.0,Muy insatisfecho,17352
ES_87944,2024/01/02,2.0,5.0,Neutral_,17265
ES_41608,2024-08-23,3.0,5.0,Satisfecho~,4737941
ES_10750,2024/01/11,1.0,3.0,Muy satisfecho,52174
ES_30348,2023-10-25,3.0,,Muy insatisfecho,17775
ES_89191,2024/05/28,2.0,3.0,Muy satisfecho,17376
ES_82629,2024/05/27,5.0,3.0,Muy insatisfecho,52222
ES_48714,2024-07-27,1.0,2.0,Muy insatisfecho,17902
ES_23210,2024/01/07,4.0,3.0,Neutral,17764
