ID,TipoIncidencia,FechaReporte,Estado,JuegoID,UsuarioID,MantenimientoID
INC_998001,,2023-12-09,Cerrada,4704596,U10407,
INC_887979,Daño mayor,2024-07-16,En progreso,5659254,U10261,
INC_44889,Fallo técnico,2024-07-29,Cerrada,4984745,U10462,
INC_928325,Daño menor,2024-05-24,Cerrada,35028,U10490,
INC_191427,Daño mayor,,Cerrada,22052,U10081,
INC_371489,Limpieza requerida,2024-06-30,En progreso,20584,U10151,
INC_5076,Fallo técnico,2024-02-29,En progreso,59741,U10195,
INC_396758,Limpieza requerida,2024-02-03,Abierta,32751,U10363,['MA_214069']
INC_869063,Limpieza requerida,2024-03-19,En progreso,52762,U10321,
INC_673137,Limpieza requerida,25-01-2024,Abierta,7928368,U10078,
INC_301922,Limpieza requerida,2023-12-27,En progreso,7893884,U10240,
INC_817605,Daño menor,2024-01-05,,8888585,U10220,
INC_8784,Fallo técnico,06-07-2024,Cerrada,4794406,U10459,
INC_983492,Limpieza requerida,2023-10-28,En progreso,7928132,U10278,
INC_961841,Daño menor,2023-12-08,En progreso,7741275,U10362,
INC_97918,Daño mayor,2024-03-22,Cerrada,9184893,U10295,['MA_959524']
INC_94570,Fallo técnico,2024-02-12,Abierta,20327,U10018,
INC_607134,Daño menor,2024-09-14,Cerrada,4730920,U10441,
INC_462703,Limpieza requerida,2024-09-05,Abierta,7902180,U10157,
INC_999838,Limpieza requerida,2023-10-13,En progreso,8927967,U10102,
INC_857316,Fallo técnico,2024-04-18,Abierta,5220692,U10378,
INC_730364,Daño menor,2024-03-09,Abierta,33898,U10022,
INC_886360,Daño menor,2024-05-31,,3568762,U10060,
INC_336637,Limpieza requerida,2024-04-23,En progreso,9288653,U10100,
INC_975832,Daño menor,2024-06-18,,7021824,U10234,
INC_953498,Daño mayor,2024-06-28,En progreso,24863,U10146,
INC_119494,Daño mayor,2024-03-02,En progreso,5658103,U10079,
INC_894123,Daño menor,2024-07-13,,34233,U10447,
INC_928900,Daño mayor,2024-08-05,Cerrada,53067,U10013,['MA_605366']
INC_808013,Daño menor,2024-02-10,Abierta,6878759,U10428,
INC_245446,Fallo técnico,2024-06-21,Abierta,9294045,U10370,
INC_592665,Fallo técnico,2023-10-22,,5207252,U10107,
INC_876005,,2024-05-09,Cerrada,7933089,U10153,
INC_641952,Limpieza requerida,2024-07-07,Abierta,3574078,U10242,"['MA_392631', 'MA_625484', 'MA_448197', 'MA_857975', 'MA_669795', 'MA_602939', 'MA_882917', 'MA_575795', 'MA_450839', 'MA_862569', 'MA_351134', 'MA_181362', 'MA_106637', 'MA_957873', 'MA_558656']"
INC_50949,Dañoo mayor,2023-12-24,,58028,U10039,
INC_251030,Daño menor,11/30/2023,Cerrada,9291561,U10249,['MA_424402']
INC_558637,,2023-12-07,En progreso,8888644,U10480,
INC_171377,Daño menor,2024-10-05,En progreso,3565861,U10008,
INC_885548,Limpieza requerida,2024.04.17,Abierta,34188,U10120,
INC_539009,,2024-04-14,Cerrada,3530766,U10274,
INC_619512,Limpieza requerida,,Cerrada,9280549,U10121,
INC_623451,Limpieza requerida,2024-06-11,En progreso,6778202,U10246,
INC_81845,Fallo tecncio,2024-02-28,Cerrada,7903112,U10497,
INC_182540,Daño mayor,08/24/2024,Abierta,59864,U10265,
INC_975884,Limpieza requerida,2024.03.21,,59066,U10200,
INC_123252,Fallo técnico,,,59529,U10286,
INC_796848,Fallo tecncio,2024-02-25,Abierta,3580728,U10197,
INC_270743,Limpieza requerida,,Abierta,3576512,U10199,['MA_457879']
INC_314022,Fallo técnico,2024-09-26,Cerrada,5173860,U10013,
INC_466728,Fallo técnico,2024.08.07,En progreso,19291,U10001,"['MA_295158', 'MA_593895', 'MA_701967']"
INC_448780,Limpieza requerida,2023.12.27,Abierta,9493130,U10229,
INC_145925,Limpieza requerida,2024.06.18,,4987689,U10414,
INC_72036,Limpieza requerida,2024-03-11,Abierta,8888491,U10138,
INC_44925,Limpieza requerida,06/17/2024,En progreso,7853214,U10014,
INC_366612,Fallo técnico,2023-10-13,Abierta,5249931,U10237,
INC_614933,Fallo técnico,15-10-2023,En progreso,24867,U10363,
INC_545966,Daño mayor,2024-04-04,,3576563,U10404,
INC_521930,Fallo técnico,2023-10-29,Cerrada,9408013,U10226,
INC_706858,Limpieza requerida,2024-09-20,Cerrada,7248194,U10005,
INC_540539,Daño menor,2024-07-15,Abierta,8820178,U10319,
INC_580391,Fallo tecncio,,,58240,U10147,
INC_523984,Limpieza requerida,01-10-2024,Abierta,5658675,U10021,
INC_252363,Daño mayor,10/26/2023,En progreso,9159006,U10477,
INC_640608,Daño menor,2023-12-01,En progreso,9244009,U10261,
INC_811348,Daño mayor,2024-04-21,Cerrada,33652,U10050,
INC_850732,Daño mayor,2024.05.22,Abierta,9285419,U10450,
