ID,FechaReporte,TipoIncidente,Gravedad,AreaRecreativaID
IS_94922,2023-12-22,Daño estructural,Media,17207
IS_50123,2024-04-17,Robo,Baja,17099
IS_3846,2023-12-12,,Media~,17333
IS_54029,2024/05/19,Vandalismo,Alta,17565
IS_11318,2024-01-07,Daño estructural,Baja,17048
IS_12879,2023/11/27,Comportamiento inadecuado,Media,17145
IS_3349,2023-10-13,Robo,Alta,52206
IS_35138,2024/01/11,Daño estructural,Alta,17095
IS_95248,2024/05/31,,Baja,18327
IS_59023,2024/05/12,Vandalismo,Media,9049658
IS_30032,2023-12-15,Daño estructural,Media,18280
IS_77338,2024/07/08,Daño estructural,Baja,7130041
IS_69949,2023/11/27,Robo,Baja,17286
IS_94612,2024-04-09,Robo,Media,17302
IS_15077,2024/02/28,Robo,Media,17651
IS_43037,2024-06-22,Comportamiento inadecuado,Media,17259
IS_1805,2024-09-30,Vandalismo,Media,17031
IS_59098,2024/05/20,Daño estructural,Media,7908048
IS_69464,2023/11/03,Daño estructural,Media,5246197
IS_72783,2024-04-19,,Alta_,5246193
IS_32190,2024-09-28,Daño estructural,Alta*,4730835
IS_29432,2024/04/26,Robo,Alta,17673
IS_34790,2024-09-06,Vandalismo,Alta,17427
IS_30929,2023-11-05,Robo,Alta,6819616
IS_12966,2024-03-21,Robo,Alta,18186
IS_77342,2024-03-14,Comportamiento inadecuado,Baja,18215
IS_39420,2024/05/22,Comportamiento inadecuado,Baja,17154
IS_28198,2023-12-30,,Baja,52149
IS_43962,2024/08/03,Daño estructural,Baja*,18436
IS_31493,2024-04-14,Daño estructural,Alta,7841427
IS_59085,2024/08/17,Comportamiento inadecuado,Alta,52116
IS_4785,2024-06-23,Comportamiento inadecuado,Baja,18433
IS_14942,2023/12/11,Robo,Baja,5654055
IS_12253,2024-05-15,Robo,Baja,18492
IS_1032,2023-12-04,Vandalismo,Baja,17923
IS_6707,2024/06/08,Robo,Media,16969
IS_72917,2023/12/16,Robo,Media,18310
IS_26633,2024/06/30,Comportamiento inadecuado,Media,18093
IS_49919,2024-01-15,Vandalismo,Alta,7943797
IS_72122,2024-06-27,Robo,Media,18324
IS_20956,2023-11-27,,Alta,18500
IS_38272,2024/05/04,Robo,Media,18510
IS_28145,2024-03-31,Robo,Media,17562
IS_42345,2024-04-12,Robo,Media,18588
IS_49682,2024/01/31,Comportamiento inadecuado,Alta,18459
IS_15977,2024/09/24,Vandalismo,Media,18014
IS_84561,2024/01/12,Vandalismo,Media,17025
IS_5617,2023-10-26,Vandalismo,Alta,3573005
IS_76852,2024-03-08,Vandalismo,Baja,7356671
IS_48071,2024/07/06,Robo,Baja,16963
IS_50361,2023-12-31,Comportamiento inadecuado,Alta,17719
IS_47223,2024/02/16,Robo,Media,17338
IS_77623,2024/09/03,,Media,17322
IS_78790,2024-08-13,Comportamiento inadecuado,Alta,18059
IS_76445,2024-05-27,Robo,Baja,17611
IS_53198,2024/09/12,Robo,Media,18191
IS_77675,2023/12/13,,Media,3573773
IS_49387,2024/04/09,Daño estructural,Alta,18371
IS_31443,2024-06-22,Robo,Media,17662
IS_66388,2024-02-06,,Media,17612
IS_10109,2024/01/31,Vandalismo,Baja,18137
IS_55196,2024/09/25,Daño estructural,Media,18557
IS_24752,2024/07/19,Daño estructural,Media,5158861
IS_4180,2023-10-24,Vandalismo,Baja,4989388
IS_81053,2024/07/14,Daño estructural,Alta,17565
IS_53980,2023/12/26,,Alta,18589
IS_9555,2024-08-03,Daño estructural,Media,17636
IS_7207,2024/05/12,Robo,Media,17249
IS_78793,2024-03-08,Vandalismo,Alta,18560
IS_23923,2024/07/29,Daño estructural,Baja,7168554
IS_14069,2024/07/03,Vandalismo,Media,52090
IS_81731,2024/01/09,Daño estructural,Baja,5240287
IS_97309,2023/12/13,Vandalismo,Media,7127775
IS_12702,2024/03/12,,Alta,16959
IS_9166,2024/07/23,,Media,18330
IS_65879,2024-02-22,,Media,17391
IS_45296,2023/11/13,Comportamiento inadecuado,Media,17923
IS_53068,2023/12/13,Comportamiento inadecuado,Baja,17699
IS_53446,2024-04-26,Daño estructural,Media,7591607
IS_8265,2023-10-28,Comportamiento inadecuado,Media*,7591554
IS_14896,2024/02/08,Daño estructural,Media,16922
IS_27018,2024-08-08,Robo,Alta,18336
IS_13962,2024/08/20,,Media,17348
IS_97070,2023/12/14,Comportamiento inadecuado,Media,7130041
IS_64852,2024/09/17,Daño estructural,Media,18098
IS_4704,2024/04/27,Robo,Alta,17524
IS_18344,2024-07-07,Robo,Baja,16736
IS_67981,2024-07-18,Robo,Media,4988217
IS_49258,2023/11/10,Comportamiento inadecuado,Baja,17989
IS_99088,2024-06-24,Daño estructural,Media,18491
IS_92282,2023/10/27,Vandalismo,Baja,18577
IS_75284,2024/01/09,Robo,Alta,7908163
IS_3930,2024-09-19,Robo,Baja,17299
IS_48341,2024/04/28,Robo,Media,17744
IS_55756,2023/12/07,Comportamiento inadecuado,Alta,16851
IS_76845,2024-02-29,Robo,Alta,5654018
IS_29140,2024-01-31,Robo,Baja,18588
IS_3169,2023-10-12,Daño estructural,Baja,17682
IS_22763,2024/04/28,Robo,Media,18042
IS_58349,2024-01-11,Daño estructural,Media,52105
IS_75926,2024/03/18,Daño estructural,Media,7126154
IS_31486,2023/11/17,,Baja,6819618
IS_26899,2024-06-18,,Alta,18123
IS_6712,2024/02/22,Vandalismo,Baja~,52031
IS_61251,2024-05-02,Daño estructural,Alta,18362
IS_18703,2023/12/12,Daño estructural,Baja,18421
IS_29129,2024-07-20,Vandalismo,Baja,18113
IS_93658,2023/12/02,,Baja,17409
IS_81944,2024-05-08,Daño estructural,Baja,5237135
IS_75504,2024-06-21,Robo,Media,3573015
IS_46278,2023-11-04,Robo,Media,17842
IS_42800,2024-03-02,Vandalismo,Baja,16881
IS_11872,2023/11/05,Daño estructural,Alta,451531
IS_14570,2023-10-20,Vandalismo,Alta,18044
IS_9546,2024-02-29,Vandalismo,Alta,7125630
IS_50834,2024/01/15,Daño estructural,Baja,18380
IS_98028,2024/03/30,Robo,Baja,17122
IS_96597,2024-07-22,Comportamiento inadecuado,Alta,52188
IS_11252,2024-01-12,Robo,Media,5174766
IS_23652,2024-01-24,,Alta,3573208
IS_1646,2024-04-17,Vandalismo,Alta,17761
IS_40803,2024-01-05,Daño estructural,Alta,16928
IS_9220,2024-01-22,Daño estructural,Baja~,18447
IS_55699,2024/03/30,Comportamiento inadecuado,Media,17062
IS_48294,2024-01-08,,Baja,16882
IS_95774,2023/11/19,,Media,17049
IS_8791,2024-01-23,,Alta,17873
IS_31816,2024-07-29,Comportamiento inadecuado,Media,18266
IS_34009,2023-11-16,Vandalismo,Baja_,52127
IS_94292,2024/01/27,Robo,Alta,17437
IS_10952,2024/08/13,Comportamiento inadecuado,Alta,18265
IS_98470,2024/07/01,Comportamiento inadecuado,Media,5240105
IS_85625,2024-02-29,Daño estructural,Baja~,17041
IS_64765,2023-12-31,Robo,Media_,17473
IS_85775,2024/02/21,Vandalismo,Baja,17973
IS_94166,2024-08-25,Robo,Baja,18083
IS_83733,2024-03-03,Daño estructural,Alta,5237118
IS_15931,2024/10/06,,Media,5237126
IS_85843,2024-01-08,,Media,17775
IS_36649,2024/03/09,Vandalismo,Media,17271
IS_36749,2024-01-19,Comportamiento inadecuado,Media,18428
IS_33232,2024/08/29,Daño estructural,Baja,17489
IS_40135,2024-01-07,Comportamiento inadecuado,Alta,16993
IS_54064,2024-04-17,Vandalismo,Alta,16832
IS_4783,2024/10/01,Comportamiento inadecuado,Media,16966
IS_24581,2024-08-09,Vandalismo,Alta*,17142
IS_7350,2023/10/13,Comportamiento inadecuado,Alta,16841
IS_19248,2024-08-14,Daño estructural,Media,17068
IS_57190,2024-08-05,Robo,Alta,18134
IS_16741,2023-12-29,Comportamiento inadecuado,Alta,7144040
IS_20224,2024-08-20,,Alta,17714
IS_18429,2024/07/29,Daño estructural,Baja,17579
IS_84357,2024/05/10,Robo,Alta,5219934
IS_91474,2024/10/06,Daño estructural,Media,18387
IS_45951,2024/05/16,Daño estructural,Baja,4749886
IS_75665,2024-04-03,Daño estructural,Alta,17631
IS_56489,2024-09-19,Daño estructural,Alta,18194
IS_66785,2023-11-02,Comportamiento inadecuado,Media,7591607
IS_40552,2024-03-18,Daño estructural,Media*,16700
IS_41913,2023-10-17,Vandalismo,Alta,18240
IS_52981,2024-02-22,Daño estructural,Alta,18373
IS_42949,2023-12-22,Robo,Media,16811
IS_88698,2023-12-20,Robo,Baja,16851
IS_79723,2024-07-20,Daño estructural,Baja,16676
IS_19090,2023/10/22,Vandalismo,Baja,17310
IS_86257,2024/02/26,Vandalismo,Alta~,18592
IS_32015,2024-09-15,Comportamiento inadecuado,Media,17153
IS_29997,2024/07/21,Daño estructural,Media~,17962
IS_39315,2024-02-03,Daño estructural,Baja,18129
IS_62909,2024-04-16,Robo,Baja,17177
IS_88402,2024-01-09,Vandalismo,Alta,16908
IS_88186,2023-11-22,Comportamiento inadecuado,Baja,7882656
IS_95904,2024-09-13,Daño estructural,Alta,17341
IS_73348,2024-03-20,Vandalismo,Baja,17814
IS_70308,2024/08/17,Vandalismo,Media,18457
IS_23973,2024/01/08,Daño estructural,Media,18580
IS_11853,2024/03/20,Daño estructural,Media,17930
IS_26929,2024/07/25,Daño estructural,Media,18510
IS_57772,2024-08-08,,Media,17426
IS_34666,2023-11-08,Daño estructural,Media,17518
IS_84041,2024/04/21,Daño estructural,Baja~,16722
IS_69297,2024-09-14,Comportamiento inadecuado,Alta,18383
IS_65599,2024-01-26,Daño estructural,Baja,7839105
IS_57654,2024/04/30,Comportamiento inadecuado,Baja,4749889
IS_47940,2024/09/11,Comportamiento inadecuado,Baja,52201
IS_61810,2024/06/27,Comportamiento inadecuado,Alta,3991326
IS_99884,2024-09-04,Vandalismo,Media,451521
IS_16735,2024/05/05,Daño estructural,Alta,18040
IS_73102,2024-07-31,,Media,16896
IS_51372,2024/04/07,Vandalismo,Media,7603212
IS_85283,2023/12/27,Robo,Baja,16760
IS_93471,2024-06-04,Vandalismo,Baja,3573208
IS_93101,2024/03/09,Vandalismo,Baja~,4792812
IS_60203,2024/06/30,Vandalismo,Media,5109124
IS_97367,2024-03-08,Comportamiento inadecuado,Baja,16975
IS_96097,2024/04/22,Vandalismo,Media,17889
IS_67250,2023-11-28,Vandalismo,Media,5219515
IS_48049,2024/07/03,Daño estructural,Baja,17650
IS_98567,2024/05/14,Daño estructural,Baja,4737820
IS_17809,2024-04-12,,Media_,16972
IS_48968,2024-04-07,,Baja,9271963
IS_70140,2024/06/21,Comportamiento inadecuado,Alta,461181
IS_24176,2023-12-13,Comportamiento inadecuado,Media,52101
IS_39031,2024-03-01,Comportamiento inadecuado,Alta,17989
IS_71146,2023-12-12,Daño estructural,Media,18625
IS_6265,2024-09-02,Vandalismo,Baja,17685
IS_57007,2024/03/24,Comportamiento inadecuado,Baja,17500
IS_71269,2024/04/23,Robo,Alta,17663
IS_25330,2024-07-09,Daño estructural,Media~,17542
IS_45068,2023/10/24,,Media,17295
IS_26163,2023-11-27,,Baja,17051
IS_91941,2024/04/17,Robo,Alta,18174
IS_90976,2024/08/09,Robo,Baja,18055
IS_66340,2024-08-02,Daño estructural,Media,17525
IS_10046,2024/02/11,Daño estructural,Media~,18009
IS_80269,2023/11/01,Vandalismo,Media,5241181
IS_70918,2024/03/08,,Media,18398
IS_15040,2024-03-06,Daño estructural,Baja,17087
IS_9792,2023-10-28,Comportamiento inadecuado,Baja,16905
IS_26631,2023-10-12,Daño estructural,Alta,7840405
IS_69335,2023-10-27,Robo,Baja_,7537965
IS_10151,2023/11/25,,Alta,17930
IS_17377,2023/10/20,Daño estructural,Alta,52095
IS_86915,2023/10/29,,Media,3568300
IS_46773,2024/05/27,Comportamiento inadecuado,Baja,5219515
IS_46278,2024-06-16,Comportamiento inadecuado,Baja,18339
IS_29888,2024/10/07,Vandalismo,Alta,16718
IS_51648,2024/07/06,Comportamiento inadecuado,Baja,16868
IS_82838,2023/12/19,Comportamiento inadecuado,Baja,16700
IS_76444,2024-04-10,Vandalismo,Baja,18030
IS_79368,2024-04-22,Vandalismo,Media,451542
IS_95100,2024-10-06,Comportamiento inadecuado,Alta,17497
IS_57007,2024/04/25,Daño estructural,Baja,18573
IS_54421,2024/07/27,Comportamiento inadecuado,Baja_,18432
IS_15811,2024-03-18,Vandalismo,Baja,18277
IS_61933,2024/05/24,Daño estructural,Media,18124
IS_90304,2024/07/08,Comportamiento inadecuado,Baja,17838
IS_34836,2024/10/03,Daño estructural,Media,17747
IS_16407,2024/08/13,Comportamiento inadecuado,Alta,17302
IS_66627,2024-03-30,Daño estructural,Media,17389
IS_62693,2023-11-11,Vandalismo,Baja,451584
IS_46557,2024-01-02,Comportamiento inadecuado,Baja*,16862
IS_81780,2024/01/10,Robo,Baja,8799606
IS_61329,2024-04-16,Comportamiento inadecuado,Baja,7130041
IS_73721,2023/11/23,Daño estructural,Alta,17357
IS_1769,2024-03-20,Robo,Baja,7168554
IS_91603,2024-01-23,,Media,16816
IS_26090,2024/07/04,Comportamiento inadecuado,Baja,17843
IS_8721,2024-10-06,Daño estructural,Baja,18182
IS_44586,2023/12/30,Vandalismo,Baja,18340
IS_57507,2024-02-14,,Baja_,16677
IS_17913,2024/04/04,Robo,Alta,16687
IS_72721,2024/04/27,,Baja,17186
IS_55720,2024/05/02,Comportamiento inadecuado,Baja,5175231
IS_65162,2024/03/23,Vandalismo,Media_,451348
IS_69294,2024/05/29,Daño estructural,Alta,17434
IS_2389,2024-06-24,Vandalismo,Baja,8799607
IS_2880,2023/12/07,Comportamiento inadecuado,Baja,5204992
IS_88652,2024/09/23,Daño estructural,Media,17415
IS_16219,2024-03-19,Daño estructural,Media,5196548
IS_59309,2024/08/24,Comportamiento inadecuado,Baja,7403980
IS_74646,2023/11/19,Daño estructural,Baja*,17632
IS_3689,2024/07/01,Vandalismo,Alta,18433
IS_99870,2024/07/03,,Baja,17899
IS_85906,2024/07/27,Comportamiento inadecuado,Media,16885
IS_13231,2024/06/16,Comportamiento inadecuado,Alta,5241169
IS_38299,2024/04/22,Vandalismo,Baja,17989
IS_68169,2024/06/29,Comportamiento inadecuado,Baja,7126508
IS_31705,2024-02-28,Robo,Baja,5240285
IS_92034,2023-11-25,Daño estructural,Alta,17520
IS_54960,2024-10-03,Robo,Media,5237114
IS_15655,2024/09/03,Daño estructural,Baja,18142
IS_1664,2024/03/19,,Alta,5204992
IS_76642,2024/09/02,Daño estructural,Alta,17391
IS_55926,2023/11/28,,Baja,16897
IS_13388,2024-03-03,Comportamiento inadecuado,Baja,17070
IS_22824,2024-09-19,Robo,Alta,8780154
IS_44181,2024-07-18,Vandalismo,Media,18162
IS_26850,2024-08-29,Comportamiento inadecuado,Alta,16955
IS_89307,2024-08-28,Vandalismo,Alta_,16965
IS_30975,2024-07-17,Daño estructural,Baja,18525
IS_78139,2024-02-01,Daño estructural,Alta,17885
IS_83099,2024/10/08,,Alta~,5132777
IS_48970,2024-02-05,Vandalismo,Baja,18455
IS_87959,2024-04-10,Robo,Media,4794560
IS_98935,2024-02-14,Robo,Alta,16990
IS_17477,2024-05-29,Comportamiento inadecuado,Media,18163
IS_46533,2024/07/08,,Baja,17591
IS_78438,2024/02/10,Vandalismo,Baja,7130041
IS_89841,2024-08-13,Daño estructural,Baja,17379
IS_68615,2024/09/02,Robo,Alta,52122
IS_14060,2024/09/02,Comportamiento inadecuado,Baja,17105
IS_7231,2023-10-29,Robo,Alta,3531283
IS_1426,2024/10/01,Robo,Media,18125
IS_27078,2023-12-09,Robo,Alta,52167
IS_12298,2024/10/03,Comportamiento inadecuado,Baja,17335
IS_27938,2024-05-28,Robo,Baja,52152
IS_52058,2024/02/19,Daño estructural,Alta,18067
IS_83679,2024/04/04,Comportamiento inadecuado,Baja,18210
IS_72626,2024-03-06,Daño estructural,Media~,17920
IS_62429,2024/01/01,Comportamiento inadecuado,Baja,18398
IS_88718,2024/02/02,Daño estructural,Baja,4737835
IS_67270,2024-08-11,Daño estructural,Alta,5237114
IS_7218,2024-08-28,Daño estructural,Media,17029
IS_81451,2023-12-09,Robo,Media,17779
IS_16933,2024-01-27,Vandalismo,Alta,18016
IS_58284,2024-01-12,Vandalismo,Baja,7602249
IS_41972,2023-10-10,Comportamiento inadecuado,Media_,17458
IS_55779,2024-09-14,Daño estructural,Alta,18358
IS_34468,2024-04-22,Vandalismo,Baja,17257
IS_81772,2024-03-15,Vandalismo,Baja,7403983
IS_97115,2024-04-11,Daño estructural,Baja,17545
IS_4863,2023-11-27,Daño estructural,Media,17574
IS_81884,2023-10-21,Comportamiento inadecuado,Alta,5246185
IS_67142,2024/05/13,Vandalismo,Alta,18005
IS_73555,2024-04-16,Robo,Media,17627
IS_38962,2024-08-12,Comportamiento inadecuado,Media,3568166
IS_71383,2024-02-26,Comportamiento inadecuado,Alta,52132
IS_17347,2023-10-18,Daño estructural,Baja~,17941
IS_92369,2024/06/23,Daño estructural,Baja~,8776081
IS_91600,2024-10-07,Comportamiento inadecuado,Alta,17462
IS_66563,2023-12-12,Robo,Alta,7126494
IS_83595,2023/12/05,Vandalismo,Baja,18251
IS_33579,2024-10-06,Daño estructural,Alta~,5237111
IS_34197,2024/01/29,Comportamiento inadecuado,Media,16659
IS_72018,2024/09/26,Comportamiento inadecuado,Alta,18148
IS_32714,2024/03/20,Comportamiento inadecuado,Alta,7928053
IS_51731,2023-11-02,Daño estructural,Baja,451584
IS_76457,2023/12/02,Robo,Media_,18418
IS_1612,2024/09/18,Robo,Baja,5220866
IS_70490,2023/11/17,Robo,Media,18549
IS_88385,2024/05/18,Daño estructural,Alta,7930170
IS_85955,2024-09-07,Comportamiento inadecuado,Alta,18153
IS_28055,2024/01/23,Robo,Media,16728
IS_25675,2024-05-17,Robo,Media,16901
IS_52495,2023-10-24,Vandalismo,Alta,18193
