ID,FechaIntervencion,TipoIntervencion,EstadoPrevio,EstadoPosterior,JuegoID,IncidenciaID
MA_241793,2023-10-25,Correctivo,Necesita reparación,Reparado,3530628,
MA_32870,2024-05-19,Correctivo,Necesita reparación,Reparado,5056332,
MA_457879,01/12/2024,Preventivo,Necesita reparación,Reparado,3576512,
MA_389326,2024-01-07,Preventivo,Necesita reparación,,24095,
MA_665244,2024-06-27,Preventivo,Necesita reparación,Reparado,7928370,
MA_440731,12/02/2023,Preventivo,Necesita reparación,Reparado,5492615,
MA_260585,2024-05-04,Correctivo,Necesita reparación,Reparado,3744279,
MA_728666,2024-09-30,Correctivo,Necesita reparación,Reparado,9291634,
MA_283301,2024-02-26,Correctivo,Necesita reparación,Reparado,9535025,
MA_140563,2024-03-11,Correctivo,Necesita reparación,Reparado,35140,
MA_2386,2023-11-24,Correctivo,Necesita reparación,Reparado,20896,
MA_180472,2023-10-18,Correctivo,Necesita reparación,Reparado,34927,
MA_537727,2024-04-04,Prevetivo,Necesita reparación,Reparado,9049141,
MA_500751,2024-05-03,Preventivo,Necesita reparación,Reparado,22026,
MA_177432,2024-05-08,Preventivo,Necesita reparación,,7591513,
MA_1158,2024-07-23,Preventivo,Necesita reparación,Reparado,9435348,
MA_582146,2023-10-25,Correctivo,Necesita reparación,,33586,
MA_585555,2023-10-13,Correctivo,Necesita reparación,Reparado,7247725,
MA_3051,20-12-2023,Correctivo,Necesita reparación,Reparado,9446277,
MA_436445,2023-10-21,Corretivo,Necesita reparación,Reparado,21204,
MA_277759,2024-01-17,Preventivo,,Reparado,3568796,
MA_984869,2024-04-02,Preventivo,Necesita reparación,Reparado,9149717,
MA_239868,19-12-2023,Preventivo,Necesita reparación,Reparado,5659321,
MA_792224,2024-03-27,Correctivo,Necesita reparación,,33424,
MA_833738,2024-08-28,Preventivo,Necesita reparación,,7872669,
MA_457042,2024-06-24,Correctivo,Necesita reparación,Reparado,7897951,
MA_797982,2024-01-24,Preventivo,,Reparado,9288474,
MA_512284,2024-04-04,Preventivo,,Reparado,5003361,
MA_136460,2024-09-09,Correctivo,,Reparado,7172909,
MA_478063,2024-08-10,Prevetivo,Necesita reparación,Reparado,33325,
MA_718794,2024-01-13,Correctivo,Necesita reparación,Reparado,3531315,
MA_416372,2024.08.17,Prevetivo,Necesita reparación,Reparado,7805740,
MA_9128,2024-06-08,Preventivo,Necesita reparación,Reparado,34903,
MA_600823,2024-08-30,Preventivo,Necesita reparación,Reparado,3576350,
MA_388269,2024-07-17,Preventivo,Necesita reparación,Reparado,19764,
MA_498792,,Prevetivo,Necesita reparación,Reparado,18885,
MA_613648,2024-06-17,Prevetivo,Necesita reparación,Reparado,59917,
MA_340732,2024-04-02,Correctivo,Necesita reparación,Reparado,4737966,
MA_581796,2023-12-22,Preventivo,Necesita reparación,Reparado,4795169,
MA_842188,2024-05-14,Preventivo,Necesita reparación,Reparado,9535175,
MA_807495,2024-09-12,Correctivo,Necesita reparación,Reparado,60037,
MA_633499,,Correctivo,Necesita reparación,Reparado,7024246,
MA_266660,2024.03.14,Preventivo,Necesita reparación,Reparado,3568718,
MA_17678,,Preventivo,Necesita reparación,Reparado,9406158,
MA_975674,,Preventivo,Necesita reparación,Reparado,7168584,
MA_252520,,Correctivo,Necesita reparación,Reparado,5174723,
MA_58595,,Correctivo,Necesita reparación,Reparado,8954928,
MA_518251,2024-06-24,Preventivo,Necesita reparación,Reparado,33485,
MA_340573,2024-08-05,Correctivo,Necesita reparación,Reparado,20834,
MA_116370,2024-08-02,Correctivo,Necesita reparación,Reparado,60189,
MA_10852,2023-11-04,Corretivo,Necesita reparación,Reparado,59804,
MA_388175,2023-12-16,Prevetivo,Necesita reparación,,21738,
MA_436514,2024-04-14,Preventivo,Necesita reparación,Reparado,7526525,
MA_765698,03-08-2024,Correctivo,Necesita reparación,Reparado,24987,
MA_378854,2024-08-20,Preventivo,Necesita reparación,Reparado,9187070,
MA_218416,2024-07-31,Preventivo,Necesita reparación,Reparado,7143519,
MA_859651,2024-03-04,Correctivo,Necesita reparación,,33393,
MA_924322,2024-02-01,Correctivo,Necesita reparación,Reparado,33422,
MA_116740,,Preventivo,Necesita reparación,Reparado,5173861,
MA_817749,2024-10-07,Preventivo,,Reparado,25704,
MA_809147,2024-06-20,Preventivo,Necesita reparación,,32951,
MA_87126,2024-06-29,Correctivo,Necesita reparación,Reparado,32562,
MA_290151,2024-06-03,Correctivo,Necesita reparación,Reparado,9155792,
MA_46619,2023-11-05,Correctivo,Necesita reparación,,4985941,
MA_296209,,Preventivo,Necesita reparación,Reparado,5272351,
MA_410479,2023-12-25,Correctivo,Necesita reparación,Reparado,22376,
MA_817506,04/12/2024,Correctivo,Necesita reparación,Reparado,8888480,
MA_104097,2024-01-07,Correctivo,Necesita reparación,Reparado,9159126,
MA_842798,2023-10-23,Preventivo,Necesita reparación,Reparado,7890633,
MA_108764,2024-08-27,Correctivo,Necesita reparación,Reparado,25613,
MA_471450,13-02-2024,Preventivo,,Reparado,9220251,
MA_188751,2024-03-21,Preventivo,Necesita reparación,Reparado,20779,
